month,H1N,H3N,sim.history.H1N.lower,sim.history.H1N.mean,sim.history.H1N.upper,sim.history.H3N.lower,sim.history.H3N.mean,sim.history.H3N.upper,Pre.2017.H1N.lower,Pre.2017.H1N.mean,Pre.2017.H1N.upper,Pre.2017.H3N.lower,Pre.2017.H3N.mean,Pre.2017.H3N.upper
2015.416667,3696,150990,7.2E-06,0.0006771,0.0146035,0.0001407,0.0059802,0.0522773,,,,,,
2015.5,5687,108361,0,0.0003888,0.0085148,0,0.0039328,0.0424419,,,,,,
2015.583333,10372,189969,7.3E-06,0.0004654,0.012979,5.66E-05,0.0041375,0.0449419,,,,,,
2015.666667,7511,196769,1.28E-05,0.0011683,0.036298,2.04E-05,0.0064976,0.0925302,,,,,,
2015.75,23751,144709,0.0001366,0.0044793,0.1710071,0.001162,0.0113598,0.2154356,,,,,,
2015.833333,96241,199547,0.0004737,0.018308,0.5096906,0.0016316,0.0175047,0.3494005,,,,,,
2015.916667,369296,178459,0.0015924,0.0753788,1.4943846,0.0021083,0.0291765,0.5481252,,,,,,
2016,1451788,414274,0.0068303,0.2642124,2.4228903,0.0036488,0.0537013,0.6592594,,,,,,
2016.083333,5231811,935818,0.0148406,0.3335873,2.0151446,0.0052991,0.0720572,0.6502173,,,,,,
2016.166667,5801116,951167,0.0100562,0.1318738,0.9289473,0.003658,0.0585383,0.463781,,,,,,
2016.25,1735666,631880,0.0022103,0.0361153,0.2865742,0.0026439,0.038218,0.2911551,,,,,,
2016.333333,342351,472392,0,0.0080706,0.0744013,0.0006236,0.0236778,0.1936478,,,,,,
2016.416667,38673,131596,0,0.0026247,0.0207378,0,0.0165933,0.1495007,,,,,,
2016.5,5574,84513,1.4E-05,0.0014704,0.0115971,0.0002347,0.0164552,0.1795536,,,,,,
2016.583333,17805,102152,2E-07,0.0013871,0.0117016,0.0004675,0.0268086,0.2778832,,,,,,
2016.666667,16663,192570,0,0.0021531,0.0258345,0.0002888,0.092598,1.1018064,,,,,,
2016.75,30515,293576,,,,,,,0.0005317,0.0044518,0.0310036,0.0134634,0.1627166,1.8760633
2016.833333,22341,596772,,,,,,,0.0007841,0.0069582,0.053683,0.0506701,0.721935,4.3401226
2016.916667,72991,3116836,,,,,,,0.0010667,0.0103745,0.1079492,0.1284145,1.3186216,4.8433621
2017,218909,10013882,,,,,,,0.0016257,0.019624,0.290987,0.0887995,0.8593339,4.3697308
2017.083333,385905,12927348,,,,,,,0.0019361,0.0322071,0.538381,0.0421763,0.3277699,2.6826905
2017.166667,242015,6549443,,,,,,,0.0011148,0.0256119,0.3496368,0.0205879,0.1356585,0.8361969
2017.25,101076,2195400,,,,,,,0.0004593,0.0097079,0.1179358,0.0078049,0.0543884,0.3068962
2017.333333,31757,484810,,,,,,,5.14E-05,0.003065,0.0370723,0.0004594,0.0251684,0.1308777
2017.416667,36414,244210,,,,,,,0,0.0011104,0.0125606,5.62E-05,0.015487,0.0835259
2017.5,,,,,,,,,,,,,,
2017.583333,,,,,,,,,,,,,,
2017.666667,,,,,,,,,,,,,,
2017.75,,,,,,,,,,,,,,
2017.833333,,,,,,,,,,,,,,
2017.916667,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,
2018.083333,,,,,,,,,,,,,,
2018.166667,,,,,,,,,,,,,,
2018.25,,,,,,,,,,,,,,
2018.333333,,,,,,,,,,,,,,
2018.416667,,,,,,,,,,,,,,
2018.5,,,,,,,,,,,,,,
2018.583333,,,,,,,,,,,,,,
2018.666667,,,,,,,,,,,,,,
2018.75,,,,,,,,,,,,,,
2018.833333,,,,,,,,,,,,,,
2018.916667,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,
2019.083333,,,,,,,,,,,,,,
2019.166667,,,,,,,,,,,,,,
2019.25,,,,,,,,,,,,,,
2019.333333,,,,,,,,,,,,,,
2019.416667,,,,,,,,,,,,,,
2019.5,,,,,,,,,,,,,,
2019.583333,,,,,,,,,,,,,,
2019.666667,,,,,,,,,,,,,,
2019.75,,,,,,,,,,,,,,
2019.833333,,,,,,,,,,,,,,
2019.916667,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,
2020.083333,,,,,,,,,,,,,,
2020.166667,,,,,,,,,,,,,,
2020.25,,,,,,,,,,,,,,
2020.33333333333,,,,,,,,,,,,,,
2020.41666666667,,,,,,,,,,,,,,
